node_id,lat,lon,thetao,so,zos,uo,vo
121,10.083336,80.0,0.3708845290670419,1.6751732216624584,-1.1017552634005807,-0.09863023837272597,0.39089151342230966
122,10.083336,80.08334,0.39103032560412815,1.6434891505244136,-1.0516560086109277,-0.20088864535486062,0.38382766715458183
123,10.083336,80.16669,0.4032183391712856,1.6346386255509007,-0.990404946689632,-0.31448219144647027,0.3202991163139935
124,10.083336,80.25,0.402653792857575,1.5301811220029857,-0.9189903081617743,-0.42127806119747974,0.2645469843464558
125,10.083336,80.33334,-1.396485707326812,1.7054097598658695,-0.8867969204404311,-0.4619088472048849,0.33718323567651026
126,10.083336,80.41669,-2.796991064107725,1.8446043799038436,-0.8509722102937053,-0.3896068126453071,0.7866530768350481
127,10.083336,80.5,-2.272896169371768,1.8162378779028097,-0.8012421650002449,-0.13435279251460872,0.30128254757955725
128,10.083336,80.58334,-1.7545678961141828,1.7597932783052364,-0.7840673420696551,0.18570273855090516,-0.23107107282429998
129,10.083336,80.66669,-1.0850443242650294,1.5941573015904742,-0.7770922231982258,0.35738417888458895,-0.5424962234743484
130,10.083336,80.75,-0.37876337393573983,1.366666846480525,-0.7724449445283272,0.40755458297507413,-0.6534052509601822
131,10.083336,80.83334,0.2328593999582702,1.1389853464147202,-0.7734053559813806,0.43862966513401497,-0.6894147106599899
132,10.083336,80.91669,0.6332129606733545,0.9487541686060749,-0.7820425243775151,0.48910807468790124,-0.7083369538118476
133,10.083336,81.0,0.8551286408641914,0.8060472605337853,-0.7981331503197919,0.5465330454241326,-0.6944692185662336
134,10.083336,81.08334,0.9928985641051261,0.6872871028879601,-0.8174231562503126,0.6114194167362785,-0.6232489615237716
135,10.083336,81.16669,1.1019720053178141,0.5941343172078358,-0.8376918707416627,0.6736077110289967,-0.47849217556845025
136,10.083336,81.25,1.1650955011340127,0.5235762714974569,-0.855653562659207,0.7004383338556976,-0.2967949878538964
137,10.083336,81.33334,1.2484060388800764,0.46378287426046305,-0.8681862413123864,0.6837402858087601,-0.14332073497098025
138,10.083336,81.41669,1.340357486414022,0.4284340465175688,-0.8737591109190098,0.6724730053445023,0.05108324680743151
139,10.083336,81.5,1.3710775705256586,0.4602118031628166,-0.874203936013664,0.6880688005521951,0.28594113169355034
140,10.083336,81.58334,1.3521227347051572,0.5822895299456526,-0.8628907222527127,0.6429324852061742,0.4053576568448643
141,10.083336,81.66669,0.9113538447375547,0.8213308570011169,-0.8450825953468589,0.5578198145421958,0.6268282077346843
142,10.083336,81.75,0.4853920507787919,0.926280668704467,-0.8053187792832345,0.5964598413420515,0.9332070196763023
143,10.083336,81.83334,0.30186809775708334,0.9881002446558215,-0.7504906556594166,0.7531057428983062,1.104836357405521
144,10.083336,81.91669,0.1330532829363475,1.0061374602462991,-0.685866391226006,0.8724112990303255,1.1385344094391758
145,10.083336,82.0,-0.12035583248080062,1.0170049790805233,-0.6194450894217475,0.8762402263701254,1.055300323086549
146,10.083336,82.08334,-0.21088946963785488,0.9128395538785652,-0.5625815992630417,0.9100455841939116,0.8589809953645575
147,10.083336,82.16669,-0.6446157087878823,0.900886385343356,-0.5332265037091402,0.7723560419942416,0.5051598447609761
148,10.083336,82.25,-0.6637200591572175,0.7367144742998142,-0.48846188271466134,0.14397774258694748,0.17283846359062333
149,10.083336,82.33334,0.0492065550841128,0.26081597838595416,-0.42899012117198226,-0.45284487047757627,0.554680020441453
150,10.083336,82.41669,0.5301407241104904,-0.07863784267161548,-0.37776045986162277,-0.6295234740644264,0.7166566891180179
151,10.083336,82.5,0.6806657850693355,-0.26711471343382104,-0.3328541296344708,-0.6178926666567417,0.7703323167257391
152,10.083336,82.58334,0.6531164405278431,-0.37896418719621533,-0.2902162673611689,-0.5715843714574919,0.816695868172425
153,10.083336,82.66669,0.6116570872705224,-0.45067952446602183,-0.25116837231557304,-0.5189866174055815,0.7957513598697217
154,10.083336,82.75,0.6715763316349525,-0.45643659073148746,-0.2206073479950941,-0.46395216604074807,0.6210044892284925
155,10.083336,82.83334,0.7244348803224651,-0.46500054827124343,-0.20281621126074595,-0.378674881073072,0.35577817785236776
156,10.083336,82.91669,0.7183073616572437,-0.43699776647459576,-0.2031827135318091,-0.25554610015082296,0.10720870978236613
157,10.083336,83.0,0.6962720105633287,-0.36340504511950067,-0.21753530094055598,-0.0964244616950755,-0.0910386241408276
158,10.083336,83.08334,0.6485150013955682,-0.2475013769576477,-0.24955187885512614,0.07624598545258875,-0.36498201597352475
159,10.083336,83.16669,0.6017685043509767,-0.06775195413009295,-0.29289268613634933,0.16893152331892042,-0.5228955859705522
160,10.083336,83.25,0.4841237549507342,0.2039341797548144,-0.34169461997313577,0.07363103177830431,-0.5402981539881854
161,10.083336,83.33334,0.2342076087348341,0.40984206576686255,-0.3875030162841579,-0.14260418261917673,-0.4346230724599599
162,10.083336,83.41669,0.009128922485007632,0.45264532072904257,-0.423390832782192,-0.2539404172538125,-0.3906596215579127
163,10.083336,83.5,-0.06651770571470986,0.46138379048806716,-0.45549068120766084,-0.23517230981965917,-0.4087296916637338
164,10.083336,83.58334,-0.09947019671068227,0.46966118059405315,-0.486310852319904,-0.24046134828587162,-0.40014959075243733
165,10.083336,83.66669,-0.14094759482733635,0.44619020558646333,-0.5114010414153871,-0.3143210626461392,-0.3496635928922378
166,10.083336,83.75,-0.17097424077282278,0.3839297566600933,-0.5275754979841065,-0.41336301560094413,-0.24340991537970152
167,10.083336,83.83334,-0.1435769886172065,0.2766322963647798,-0.5333418875112376,-0.5129418386014466,-0.14638264270897486
168,10.083336,83.91669,-0.06627796686915466,0.13247234444564357,-0.5309084655296327,-0.5558935817724898,-0.06763731466390119
169,10.083336,84.0,-0.0018011066022890912,-0.026651571033919894,-0.525728423624647,-0.495010569725029,-0.035633476518245784
170,10.083336,84.08334,0.03649524059603289,-0.15453228835045427,-0.5245928827114522,-0.3700913958343339,-0.02128143533333422
171,10.083336,84.16669,0.0644725060876506,-0.22361157262378978,-0.5288485472633924,-0.2400945082712978,0.035932156794344285
172,10.083336,84.25,0.0849714663004316,-0.25546831901039163,-0.5333967788345649,-0.12293305570096312,0.11618976327365409
173,10.083336,84.33334,0.10138455479072374,-0.26560839743584325,-0.5344420477925591,-0.030295163356521528,0.22333673523742284
174,10.083336,84.41669,0.10525904387520604,-0.2749640893599028,-0.5295338486316725,0.03358875397051837,0.3302719344076403
175,10.083336,84.5,0.10217595076473175,-0.26624766324962573,-0.5206491091650188,0.06649415965488664,0.4458129992239642
176,10.083336,84.58334,0.10601435013052911,-0.24974431821806028,-0.5057129747118475,0.05898857067480045,0.5691229756026788
177,10.083336,84.66669,0.11354678998739323,-0.23296726454784933,-0.48279108624040024,0.019739540390184523,0.6909146095058658
178,10.083336,84.75,0.130343976197962,-0.2342439592046767,-0.4531094433242535,-0.022658508942930835,0.8270435631575574
179,10.083336,84.83334,0.2049208020223798,-0.23149585099371742,-0.41860632580397433,-0.050292132093032106,0.8755385245023791
180,10.083336,84.91669,0.2339111574742091,-0.24369701057738852,-0.382802433284973,-0.0674099403229525,0.9626895168754747
181,10.083336,85.0,0.3448457970361957,-0.2639055255698232,-0.34274950424797146,-0.0630091565672108,1.036009288851256
182,10.083336,85.08334,0.4445591119243545,-0.23474361524303647,-0.3049333032839837,0.028523080896897916,1.1451749144608014
183,10.083336,85.16669,0.4466600491191991,-0.1625782201445652,-0.26737708928507653,0.19967008726661015,1.3070619840509665
184,10.083336,85.25,0.3801080300279769,-0.10652305834158794,-0.21993072841774797,0.3834508464821221,1.465582357974726
185,10.083336,85.33334,0.28925989675095515,-0.07272830783562877,-0.16173603031575495,0.5618311302616301,1.578630729120139
186,10.083336,85.41669,0.15075786778813374,-0.019092436483070383,-0.09777363575036029,0.7178004365977312,1.6549907398035002
187,10.083336,85.5,0.005656575980144447,0.026547101285072042,-0.028314640644937897,0.8453742235732045,1.6730818925699091
188,10.083336,85.58334,-0.1330259015760925,0.07773061671409029,0.04097407933505919,0.9618584581337966,1.6578334784921749
189,10.083336,85.66669,-0.2422643243599052,0.11050401149458237,0.10746763604451413,1.0934989340254944,1.6217126529472488
190,10.083336,85.75,-0.3124407823418667,0.13794100630661463,0.16557934369338137,1.2545348243179484,1.5643352992766788
191,10.083336,85.83334,-0.3686994980968725,0.1642023398519341,0.22009100203474882,1.4121106735938258,1.4560245297993466
192,10.083336,85.91669,-0.3950011695067103,0.1798919068504354,0.27355869835439167,1.5278265467948244,1.3108840491941605
193,10.083336,86.0,-0.40773052885413275,0.19361958911009416,0.3227587809904857,1.6012485671739443,1.1391491204741773
194,10.083336,86.08334,-0.4339961105452856,0.21121776869628076,0.3679843770778084,1.637870543872261,0.9453860986649034
195,10.083336,86.16669,-0.4387547977375398,0.22085084320046114,0.4086454982431781,1.6496566885607655,0.7623795871070662
196,10.083336,86.25,-0.44624857003865825,0.21880445780807772,0.4400157028197864,1.6636885193005828,0.5935577170330061
197,10.083336,86.33334,-0.4412759223713551,0.18796171926401847,0.4671953096001695,1.6745699667861345,0.45037988731295026
198,10.083336,86.41669,-0.4340244667528159,0.1651336840116604,0.4895961972629564,1.6543866695725897,0.27899582985912247
199,10.083336,86.5,-0.4330577778594863,0.13748176362430067,0.5038750361250559,1.61848246846725,0.07774628242317148
200,10.083336,86.58334,-0.44532054870106513,0.13557682497807763,0.5073542871801989,1.5712845501150992,-0.10420867257876507
201,10.083336,86.66669,-0.4741820123004456,0.15410634872399054,0.5008918607368578,1.4671598503312746,-0.22123114301372926
202,10.083336,86.75,-0.465089981029011,0.1418133406038671,0.49258441369105244,1.2974207085491214,-0.26195599340333314
203,10.083336,86.83334,-0.3548745580036625,0.04073770016850703,0.49192413081707786,1.1238480214635491,-0.2302217738788535
204,10.083336,86.91669,-0.2335357681123624,-0.06475952881214721,0.490989297973874,1.0173898519530107,-0.16027263335482997
205,10.083336,87.0,-0.10380611862691419,-0.1479651179933998,0.4890258129338194,0.9584723892684028,-0.14860929772419013
206,10.083336,87.08334,-0.026166822388416094,-0.21872523048399478,0.48536545785273233,0.8914158716217591,-0.20495329451446578
207,10.083336,87.16669,-0.002739439288088404,-0.2568974822377531,0.4782972664483809,0.8202568652491832,-0.24314394335694048
208,10.083336,87.25,-0.03477422029465551,-0.26428210456932094,0.4675575176520599,0.7431072161634124,-0.24573516936971723
209,10.083336,87.33334,-0.0847739476949489,-0.27627752343131373,0.45721778470685837,0.6567354089970566,-0.2322619588469792
210,10.083336,87.41669,-0.11079205702941027,-0.29517995223526206,0.4496714413329773,0.5872043830834428,-0.2007050229089707
211,10.083336,87.5,-0.12253926046120293,-0.29466192648961703,0.4446653153044526,0.5479868142647307,-0.1344151099619464
212,10.083336,87.58334,-0.14146831791121647,-0.2718173585006983,0.44172778933310386,0.5372789005313238,-0.05234414413226509
213,10.083336,87.66669,-0.1588558288059837,-0.23981365445574926,0.4413596067154091,0.5524436999234484,0.032878849147141426
214,10.083336,87.75,-0.1736887031853022,-0.18677479859020293,0.4455344279238077,0.6070207004725059,0.17558105742040886
215,10.083336,87.83334,-0.17111859964756254,-0.1517492776956491,0.46147596977874744,0.713102315298215,0.37150923648822376
216,10.083336,87.91669,-0.17511940274744214,-0.12909942860403498,0.49030474342631947,0.836809722825271,0.5282805847159933
217,10.083336,88.0,-0.1992866250807928,-0.10572581304509748,0.529801291022789,0.9284023708795124,0.62628448298628
218,10.083336,88.08334,-0.2396426640811805,-0.07775242278012189,0.5758801297890489,0.9806090850928194,0.6776639840809079
219,10.083336,88.16669,-0.2877399477393965,-0.055938395370306385,0.6236704949530825,1.015986499412474,0.6852091422480605
220,10.083336,88.25,-0.33826555389766394,-0.034789351364483176,0.6689072933512887,1.039926192280352,0.6519738781579415
221,10.083336,88.33334,-0.3898326062236824,-0.011125494430326488,0.710627126247712,1.0347470401649543,0.587086903885474
222,10.083336,88.41669,-0.43827274220939616,0.0018949540985825934,0.7500718631563454,0.991709737567042,0.5308318265256624
223,10.083336,88.5,-0.47963413765885,0.010185202999666958,0.7857152825719453,0.9390176287740668,0.5073876058829099
224,10.083336,88.58334,-0.5124190692466463,0.023415066191703585,0.8167526851627323,0.9038776794643658,0.5045329176879182
225,10.083336,88.66669,-0.5429767496242006,0.031892686107181024,0.8453512513216542,0.888807357676558,0.5009954640204615
226,10.083336,88.75,-0.5625373771511915,0.039056871951247574,0.8721714506278673,0.8934269312279114,0.47946893924279144
227,10.083336,88.83334,-0.5824382791686286,0.034030920036029845,0.8985070566357903,0.9116186998557478,0.4568252466793683
228,10.083336,88.91669,-0.5921902367245799,0.02592987912005011,0.9236245980403467,0.9379922713840757,0.44632447363189937
229,10.083336,89.0,-0.6035146748803595,0.009114249064517941,0.9483793712774677,0.9733991305176318,0.44449313405038704
230,10.083336,89.08334,-0.6050046646946208,-0.013296793832296582,0.9726606601745923,1.0191341712018627,0.4440994222493162
231,10.083336,89.16669,-0.6108408877733109,-0.04835538019997169,0.996341598560968,1.0816120838367829,0.44791935513859504
232,10.083336,89.25,-0.6220003443579658,-0.06248352207861334,1.0170084618516253,1.160874218261771,0.4626554507912193
233,10.083336,89.33334,-0.639377543904536,-0.06058042040311491,1.0353424439008554,1.2489736945879668,0.4839419193155906
234,10.083336,89.41669,-0.6538959221638871,-0.043257786426311465,1.0523442844808901,1.3378483956692264,0.5047383248150931
235,10.083336,89.5,-0.668568970646184,-0.012554657657674915,1.0690973404067268,1.4230412240136388,0.523496784213081
236,10.083336,89.58334,-0.6812777072972125,0.025468799467011537,1.0864528939528988,1.5027540971078328,0.543183173861838
237,10.083336,89.66669,-0.6877480782899315,0.07098342322556728,1.1051286398366573,1.5677480796822947,0.5644722632816471
238,10.083336,89.75,-0.6923752957926853,0.11742755417311165,1.1270212226431184,1.6077397717234645,0.5829894670335087
239,10.083336,89.83334,-0.6939142645108801,0.16314424471188346,1.15090221563135,1.6274574172109786,0.5918076696320149
