src,dst,weight
35,157,0.07752982688359968
35,155,0.07751181751553851
35,37,0.05571904621259052
36,35,0.11145815068729856
36,37,0.1114180289672469
36,157,0.10791512778011011
36,156,0.07752982688359968
36,158,0.07751631949125264
36,34,0.05571570293628512
37,36,0.1114180289672469
37,38,0.11140466147880654
37,158,0.10791512778011011
37,157,0.07751631949125264
37,159,0.07751181751553851
37,35,0.05571904621259052
38,39,0.11145815068732115
38,37,0.11140466147880654
38,159,0.10791512778011011
38,160,0.07752982688360727
38,158,0.07751181751553851
38,40,0.05571904621259617
39,38,0.11145815068732115
39,40,0.1114180289672469
39,160,0.10791512778011011
39,159,0.07752982688360727
39,161,0.07751631949125264
39,37,0.055715702936290766
40,39,0.1114180289672469
40,41,0.11140466147878396
40,161,0.10791512778011011
40,160,0.07751631949125264
40,162,0.07751181751553092
40,38,0.05571904621259617
41,42,0.11145815068732115
41,40,0.11140466147878396
41,162,0.10791512778011011
41,163,0.07752982688360727
41,161,0.07751181751553092
41,43,0.05571904621260182
42,41,0.11145815068732115
42,43,0.11141802896726948
42,163,0.10791512778011011
42,162,0.07752982688360727
42,164,0.07751631949126023
42,40,0.05571570293628512
43,42,0.11141802896726948
43,44,0.1114046614787614
43,164,0.10791512778011011
43,163,0.07751631949126023
43,165,0.0775118175155233
43,41,0.05571904621260182
44,45,0.11145815068732115
44,43,0.1114046614787614
44,165,0.10791512778011011
44,166,0.07752982688360727
44,164,0.0775118175155233
44,46,0.05571904621260182
45,44,0.11145815068732115
45,46,0.11141802896726948
45,166,0.10791512778011011
45,165,0.07752982688360727
45,167,0.07751631949126023
45,43,0.05571570293627947
46,45,0.11141802896726948
46,47,0.1114046614787614
46,167,0.10791512778011011
46,166,0.07751631949126023
46,168,0.0775118175155233
46,44,0.05571904621260182
47,48,0.11145815068732115
47,46,0.1114046614787614
47,168,0.10791512778011011
47,169,0.07752982688360727
47,167,0.0775118175155233
47,49,0.05571904621259617
48,47,0.11145815068732115
48,49,0.1114180289672469
48,169,0.10791512778011011
48,168,0.07752982688360727
48,170,0.07751631949125264
48,46,0.05571570293627947
49,48,0.1114180289672469
49,50,0.11140466147880654
49,170,0.10791512778011011
49,169,0.07751631949125264
49,171,0.07751181751553851
49,47,0.05571904621259617
